annual_income_krw,scenario,screening_rate_pct,estimated_mortgage_limit_krw,dsr_limit_pct,actual_mortgage_rate_pct,mortgage_term_years,repayment_method,base_date,canonical_source
40000000,no_stress,4.0,279000000,40,4.0,30,equal_principal_interest,2026-09-18,https://resimanor.com/housing-finance-dsr-data/
40000000,regional_example,4.75,256000000,40,4.0,30,equal_principal_interest,2026-09-18,https://resimanor.com/housing-finance-dsr-data/
40000000,capital_regulated_example,7.0,200000000,40,4.0,30,equal_principal_interest,2026-09-18,https://resimanor.com/housing-finance-dsr-data/
50000000,no_stress,4.0,349000000,40,4.0,30,equal_principal_interest,2026-09-18,https://resimanor.com/housing-finance-dsr-data/
50000000,regional_example,4.75,320000000,40,4.0,30,equal_principal_interest,2026-09-18,https://resimanor.com/housing-finance-dsr-data/
50000000,capital_regulated_example,7.0,250000000,40,4.0,30,equal_principal_interest,2026-09-18,https://resimanor.com/housing-finance-dsr-data/
60000000,no_stress,4.0,419000000,40,4.0,30,equal_principal_interest,2026-09-18,https://resimanor.com/housing-finance-dsr-data/
60000000,regional_example,4.75,383000000,40,4.0,30,equal_principal_interest,2026-09-18,https://resimanor.com/housing-finance-dsr-data/
60000000,capital_regulated_example,7.0,301000000,40,4.0,30,equal_principal_interest,2026-09-18,https://resimanor.com/housing-finance-dsr-data/
70000000,no_stress,4.0,489000000,40,4.0,30,equal_principal_interest,2026-09-18,https://resimanor.com/housing-finance-dsr-data/
70000000,regional_example,4.75,447000000,40,4.0,30,equal_principal_interest,2026-09-18,https://resimanor.com/housing-finance-dsr-data/
70000000,capital_regulated_example,7.0,351000000,40,4.0,30,equal_principal_interest,2026-09-18,https://resimanor.com/housing-finance-dsr-data/
80000000,no_stress,4.0,559000000,40,4.0,30,equal_principal_interest,2026-09-18,https://resimanor.com/housing-finance-dsr-data/
80000000,regional_example,4.75,511000000,40,4.0,30,equal_principal_interest,2026-09-18,https://resimanor.com/housing-finance-dsr-data/
80000000,capital_regulated_example,7.0,401000000,40,4.0,30,equal_principal_interest,2026-09-18,https://resimanor.com/housing-finance-dsr-data/
100000000,no_stress,4.0,698000000,40,4.0,30,equal_principal_interest,2026-09-18,https://resimanor.com/housing-finance-dsr-data/
100000000,regional_example,4.75,639000000,40,4.0,30,equal_principal_interest,2026-09-18,https://resimanor.com/housing-finance-dsr-data/
100000000,capital_regulated_example,7.0,501000000,40,4.0,30,equal_principal_interest,2026-09-18,https://resimanor.com/housing-finance-dsr-data/
